Text,Label,corrected_label,emotion
I can't raise a baby by myself.  How?,5,5,neutral
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",5,6,sadness
And your mother is close by.,6,1,joy
I'll send you lots of letters.,6,6,sadness
And I want lots and lots and lots of pictures.,6,6,sadness
It's just not fair.,6,3,anger
So what's up?  What's new?,5,5,neutral
Well Vegas was awesome.,6,1,joy
Yeah.  I heard.,6,5,neutral
"And, um, I got married.",6,1,joy
Shut up.  No- in Vegas?,5,3,anger
Yeah.  In the old town part.,6,6,sadness
Who did you marry?,5,6,sadness
Chuck. [LAUGHTER],6,6,sadness
Did you propose to you?,5,5,neutral
Um- Yes.  It was very romantic.,6,1,joy
It was at the slot machines.,6,6,sadness
Oh.  The Wheel of Fortune slots?,5,5,neutral
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",6,6,sadness
He turned to you and was like...,6,5,neutral
Hey.  Let's get married and I said okay.,6,1,joy
[LAUGHTER] That's really romantic.,6,6,sadness
"Yeah.  Well.  You know, because he's leaving the next day.",6,6,sadness
But we're going to have a honeymoon cruise.,6,1,joy
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",5,6,sadness
Oh.  I hadn't even thought about that.,6,5,neutral
Yeah.  Think about that.,6,6,sadness
"He's not going to be a citizen, though.",6,6,sadness
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,5,6,sadness
Oh.  Totally.,6,5,neutral
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",5,6,sadness
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],6,6,sadness
Like you need another one of those.[LAUGHTER],6,6,sadness
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,5,6,sadness
Is that your phone?,5,5,neutral
"Yeah, so [LAUGHTER] He's calling me now",6,6,sadness
He loves you.,2,1,joy
"He likes to keep tabs, you know.",6,6,sadness
How much did he win at the slot?,5,6,sadness
"Uh, I think seven hundred and fifty dollars.",6,6,sadness
Really? Penny slots?,5,5,neutral
Penny slots. That's what he plays.,6,6,sadness
Wow.,6,5,neutral
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,6,5,neutral
Oh.,6,6,sadness
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,6,6,sadness
"But the pennies always get you because you end up spending like, you know, fifty bucks.",6,6,sadness
Fifty bucks. Mmhmm.,6,5,neutral
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",6,6,sadness
Well so now we're married. We have cat children.,6,1,joy
Awesome.,6,1,joy
[LAUGHTER] Cat babies.,6,7,disgust
"We renamed Brenda, Lumber Janet.",6,6,sadness
That's fair enough.,6,6,sadness
She needs a new name each state that we go into. [LAUGHTER],6,6,sadness
"Have you tried, uh, Craig's List?",5,6,sadness
"Uh, what?  Craig's List?  Oh the internet thing?",5,5,neutral
I don't know.  Isn't that-- that's all like escort services and things like that.,6,5,neutral
No.  There's regular jobs on there.,6,6,sadness
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",6,6,sadness
Uh huh.,6,6,sadness
I'm just saying I have a friend that got a good job on it so I was just recommending it.,6,6,sadness
What kind of a job?,5,5,neutral
He's like a manager for a theatre.,6,6,sadness
Really?,5,5,neutral
He's like a house manager. Yeah.  It's a good job.,6,1,joy
He just...,6,6,sadness
you know what?  I heard about that job.  I applied for that.,5,5,neutral
You did?,5,5,neutral
Yeah.  I saw a posting at the theatre.,6,5,neutral
He got it?,5,5,neutral
You've been looking for a job for a long time; that was a long time ago.  Right?,5,6,sadness
Hmm.,6,6,sadness
What did he do?  What was so great?  I don't understand why they would pick him over me.,5,5,neutral
I don't know.  He had a really good resume I guess and--,6,5,neutral
A resume?,5,5,neutral
Yeah.  Do you have a resume?,5,5,neutral
No.,6,6,sadness
It's kind of helpful when getting a job.,6,1,joy
I just- I mean I call people up and I tell them what I'm good at.,6,6,sadness
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,6,6,sadness
I don't like- I don't like sending things in the mail.  I don't want my information out there.,6,7,disgust
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",6,6,sadness
I'm there in front of them.  I'm telling them what I'm good at.,6,6,sadness
"Yeah.  But the piece of paper helps, too.",6,6,sadness
Why?  It's a piece of paper.,5,5,neutral
"No.  But it has an outline, you know.",6,6,sadness
"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",6,4,fear
"I know.  Okay.  Well, um. Maybe--",6,6,sadness
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",6,6,sadness
"Okay, yeah.  I would imagine.",6,6,sadness
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,6,7,disgust
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",6,6,sadness
"That's baloney, that's baloney.",6,6,sadness
Please.,6,6,sadness
maybe get a car.,6,6,sadness
"I just, you know, think you should try a little harder maybe.",6,6,sadness
you think that you're better than me because I don't have a car?,5,5,neutral
I didn't say that.,6,6,sadness
"You know, you're riding the bus, too.",6,6,sadness
"I am riding the bus, but by choice.",6,4,fear
Why?  What choice?,5,5,neutral
"To save the environment, carpool.",6,6,sadness
You're saving the environment. mmhmm,6,6,sadness
Yes.  One less car at a time.,6,6,sadness
Interesting.  That's fantastic.,6,1,joy
Mmhmm.,6,6,sadness
"You know, you don't have to take out your frustration on me, you know, just because...",6,3,anger
I'm not frustrated.,6,3,anger
...you can't get a job and refuse to have a resume.,6,0,surprise
Who do you think you are?,5,5,neutral
I don't think I'm anyone.,6,6,sadness
You are so high and mighty.  I just--,6,5,neutral
I- I-I didn't-- okay.,6,4,fear
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,6,1,joy
What?  No.,5,5,neutral
What? Oh.  So now you're...,5,5,neutral
"The bus, I'm riding the bus because I want to.",6,4,fear
you know what?  You don't have to take your anger and your hurt out on me.,5,3,anger
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,6,6,sadness
Why not?,5,6,sadness
Hi.,6,6,sadness
Hi.  Thanks for waiting.,6,1,joy
Yeah. This is the fourth line that I have been in.,6,6,sadness
Can I help you?,5,4,fear
I need my bag.,6,6,sadness
Okay.,6,6,sadness
"I flew in over three hours ago, I've been in four different lines.",6,6,sadness
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,6,5,neutral
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,5,0,surprise
Nash.,6,6,sadness
No G.,6,6,sadness
all right- okay.  And you lost your bag? Is that- that the issue?,5,6,sadness
Yes.,6,6,sadness
Flight seven fourteen.,6,6,sadness
Uh-huh.,6,4,fear
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",5,6,sadness
"Yeah. Yeah, I don't see- I don't see any--",6,7,disgust
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",6,6,sadness
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",6,0,surprise
"Oh, Are you kidding me?",5,5,neutral
"for such an inconvenience and your bag, but",6,0,surprise
Is this a joke?,5,5,neutral
"No, no.",6,6,sadness
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",5,5,neutral
"No, no.  This is real.",6,6,sadness
So you'll give me money and then I'll get my bag?,5,6,sadness
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",6,0,surprise
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,6,6,sadness
"You're kidding me, this is a joke.",6,3,anger
"Once again, I'm really- I'm really sorry.",6,0,surprise
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,5,5,neutral
We flew in from Paris.  I've been shopping for three weeks.,6,6,sadness
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",6,0,surprise
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,6,3,anger
Okay. Calm-,6,6,sadness
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",6,6,sadness
Do you understand who my husband is?,5,5,neutral
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",6,6,sadness
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",6,6,sadness
Oh-Oh.  It's a gift.  You're-You're helping me out here?,5,5,neutral
It's a gift.,6,1,joy
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",6,6,sadness
You are cruising for a bruising.  You are in so much trouble.,6,0,surprise
With the amount of--,6,6,sadness
Who's in charge?  Who is the president of Jet Blue?,5,5,neutral
"Um, actually, I don't know. I don't know. Oh really?",5,5,neutral
Because I probably know him.,6,6,sadness
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,6,6,sadness
"I don't want money, I want my clothes.",6,3,anger
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",6,0,surprise
What's your name?,5,6,sadness
Oh.  My name is Sean. Hi.,6,5,neutral
Sean.  Great. Do you have a badge number or something?,5,5,neutral
"Badge number?  Uh, no.  You can just take my employee number I guess.",5,6,sadness
Okay.  I'll do that.,6,6,sadness
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,5,6,sadness
I don't think you have done everything you could do because I don't have my bag here yet.,6,5,neutral
"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",3,3,anger
A letter? I'll make a personal phone call.,5,6,sadness
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",6,6,sadness
"I'm sorry, Joy.",1,0,surprise
It's okay.,6,6,sadness
Is there anything I can get you?  Do you want me to take care of anything for you or...?,5,6,sadness
"No, no, no.",6,4,fear
...pick up anything?,5,5,neutral
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,6,6,sadness
That's sweet.,2,1,joy
Thank you.,6,6,sadness
I went to see her headstone a week or two ago.,6,1,joy
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",6,6,sadness
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,6,6,sadness
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,6,6,sadness
"this woman came up and, you know, it was hers. It was her person that was there.",6,6,sadness
Oh.  She was there?,5,5,neutral
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",1,7,disgust
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",6,6,sadness
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",6,0,surprise
I don't know.,6,5,neutral
How long were you there for?,5,6,sadness
At the cemetery?,5,5,neutral
couple hours.,6,6,sadness
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",6,6,sadness
Oh really?,5,5,neutral
You ran through the sprinklers in the cemetery?,5,5,neutral
It was hot.[LIPSMACK],6,6,sadness
Is it a big cemetery?,5,5,neutral
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,6,5,neutral
"Oh, so they're like really old too, really old ones?",5,6,sadness
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",6,7,disgust
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",6,6,sadness
She used to have these poetry parties on Memorial Day.,6,6,sadness
Umm. Yeah.,6,6,sadness
"And the last time before she died, I remember she couldn't really stand, umm...",6,4,fear
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",6,6,sadness
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",6,6,sadness
So she wrote a lot of poetry?,5,6,sadness
"There's another one, I can't remember.",6,6,sadness
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",5,7,disgust
Mmhmm.Mmhmm.Mmhmm.,6,6,sadness
Did you get the letter?,5,5,neutral
"Yes.  There's a big envelope it says, you're in. I know.",6,6,sadness
Yeah. That is so awesome.,6,1,joy
Oh my God. What are you going to do? [LAUGHTER],5,5,neutral
So I have to move back to the ghetto but...I know.,6,0,surprise
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",5,1,joy
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",1,1,joy
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",5,1,joy
"Oh- I know, I know, I know, I know.",6,7,disgust
"I don't know.  I spend so much time commuting as it is, I'd rather.",6,6,sadness
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,1,1,joy
I know. We should throw a party.,6,3,anger
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",5,6,sadness
A rapper party ho. Yeah. Okay.,6,7,disgust
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",1,1,joy
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,6,1,joy
Yeah.  Big time.,6,5,neutral
Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,5,4,fear
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",6,6,sadness
"Oh, okay.",6,6,sadness
Ooh. Fancy.,6,5,neutral
Yeah.  I'm not sure.,6,6,sadness
Is this a Masters or a P.h.D.?  Or can you...? Nice,5,5,neutral
Umm...P.h.D. [LAUGHTER],6,6,sadness
"That's good.  Don't you have to like teach a class, too, when you do that?",5,6,sadness
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",6,6,sadness
"Teacher. Mrs. Nash, I have a question.",6,6,sadness
So I get to mold young minds. Mrs.?  That's my mother.,5,6,sadness
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,6,6,sadness
"I would be like- Oh. Right, right, right.",6,6,sadness
"Mrs. Nash.  That's so awesome, though.",6,1,joy
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",5,1,joy
Yay...School's fun.,6,1,joy
"Of course, right.  That's where the real money is, being a student.",6,6,sadness
Yeah.  Totally. [LAUGHTER],6,6,sadness
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,5,3,anger
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",3,7,disgust
What's he going to say?,5,5,neutral
Maybe we should tell him before he sees it.,6,6,sadness
He saw it.,6,6,sadness
How could he see it?  I was the first one up; he was still in bed.,5,5,neutral
He was out here when it broke.,6,4,fear
When?,5,5,neutral
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,6,5,neutral
What was he doing out here at four o clock in the morning?,5,5,neutral
"He's dreaming of him again, walking around.",6,6,sadness
I guess he is.,6,6,sadness
It's getting to be just like after he died.  What's the meaning of that?,5,6,sadness
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",3,4,fear
What?,5,5,neutral
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",6,6,sadness
What do you mean dishonest?,5,3,anger
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,5,5,neutral
What do you want to do?  Argue with him?,5,6,sadness
I don't want to argue but it's time he realized that nobody believes Larry is alive.,6,6,sadness
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",5,4,fear
You can't say that to him.,6,7,disgust
We've got to say it to him.,6,6,sadness
Where's the proof?  Do you have any proof?,5,5,neutral
"For God's sake, three years?  Nobody comes back after three years; that's insane.",5,5,neutral
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",5,6,sadness
"Sit down, Mom.  I want to talk to you.",6,0,surprise
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",6,7,disgust
"All right, all right, all right.  You know why I asked Annie here, right?",5,6,sadness
Why?,5,5,neutral
You know.,6,6,sadness
"Well I got an idea, but what's your story?",5,6,sadness
I'm going to ask her to marry me.,6,1,joy
"Well that's only your business, Chris.",6,6,sadness
You know it's not just my business.,6,6,sadness
Well what do you want me to do?  You're old enough to know your own mind.,5,6,sadness
"So all right then, I'll just go ahead with it?",5,6,sadness
Well you want to make sure that your father is not going to --,6,6,sadness
Then it's not just my business.,6,6,sadness
I'm just saying.,6,6,sadness
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",5,3,anger
Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,6,6,sadness
She's not Larry's girl.,6,6,sadness
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",6,6,sadness
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",6,6,sadness
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",4,4,fear
"You're a considerate fellow, there's nothing wrong in that.",6,6,sadness
To hell with that.,6,3,anger
I just don't see why.  Have you asked Annie yet?,5,5,neutral
I wanted to get this settled first.,6,0,surprise
Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,5,6,sadness
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",6,6,sadness
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,5,6,sadness
The trouble is you don't see enough women.  You never did.,6,0,surprise
So what.  I'm not fast with women.,6,5,neutral
Why does it have to be Annie?,5,5,neutral
Because it is.,6,6,sadness
Oh that's a great reason.  It's no reason at all.,6,6,sadness
"You haven't seen her since you went away to war, it's been five years.",6,6,sadness
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",5,4,fear
"Mom, what do you want?  A diagram?",5,5,neutral
I don't want a diagram.,6,7,disgust
He thinks he's coming back Chris.,6,6,sadness
"You marry that girl, you are pronouncing him dead...",6,3,anger
...and then what's that going to do to your father?  Do you know?  I don't.,5,5,neutral
"All right, then, Mom. [BREATHING]",6,3,anger
Just give it some more thought.,6,6,sadness
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",1,6,sadness
"But if I can't do that here, I may have to go somewhere else.",6,6,sadness
What the hell is this?,5,3,anger
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",6,6,sadness
Are you crazy?,5,3,anger
"I've been a good son for too long, a good sucker.",6,6,sadness
You have a business here.  What the hell is this?,5,3,anger
The business?  The business doesn't inspire me.,5,0,surprise
Oh.  Must you be inspired?,5,5,neutral
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",1,1,joy
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",6,6,sadness
You mean to tell me that you would leave the business over this?,5,3,anger
"On this, I would.",6,6,sadness
Well you don't want to think like that.,6,7,disgust
Then help me stay here.,6,6,sadness
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",5,3,anger
I know that.  Then just help me stay here.,6,6,sadness
Just don't think like that.,6,6,sadness
Well I am thinking like that.,6,6,sadness
"I don't understand you, do I?",5,5,neutral
No.  You don't.  I'm a pretty tough guy.,6,4,fear
I can see that.,6,6,sadness
Why did he invite her here?,5,5,neutral
Why does that bother you?,5,3,anger
"She's been in New York three and an half years, why all of a sudden?",5,5,neutral
Well maybe...maybe he just wanted to see her.,6,6,sadness
Nobody comes seven hundred miles just to see.,6,6,sadness
"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",5,5,neutral
[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,6,3,anger
He's not going to marry her.,6,0,surprise
How do you know he's even thinking about it?,5,5,neutral
It's got that about it.,6,6,sadness
Oh.  So what.,6,5,neutral
"What is going on here, Joe?",5,5,neutral
Now listen.,6,6,sadness
She is not his girl.  She knows she's not.,6,6,sadness
You can't read her mind.,6,7,disgust
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",5,5,neutral
How do you know why she waited?,5,5,neutral
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",6,0,surprise
"Hey look, it's a nice day, huh?  Why are we arguing?",5,1,joy
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",6,6,sadness
What do you want me to do? What do you want?,5,3,anger
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",6,6,sadness
I won't stand for any nonsense.,6,3,anger
Kate.,6,6,sadness
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",6,4,fear
[BREATHING],6,7,disgust
Calm yourself.,6,6,sadness
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",6,6,sadness
Okay. Calm yourself.,6,6,sadness
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",5,6,sadness
"Look at you, you're shaking.",6,4,fear
I can't help it.,6,0,surprise
"What have I got to hide?  What the hell is the matter with you, Kate?",5,3,anger
You're the only one who still loves his parents.,2,6,sadness
"I know.  It kind of went out of style, didn't it?",5,6,sadness
It's not so bad; it's a good thing.,6,7,disgust
"[BREATHING] You know, it's lovely here.  The air is sweet.",2,1,joy
You're not sorry you came.,6,0,surprise
"I'm not sorry, no. But I'm...I can't stay.",6,0,surprise
"For one thing, your mother much as told me to go.",6,6,sadness
Well.,6,6,sadness
"And then, you.  You've been kind of...",6,6,sadness
Sort of embarrassed ever since I got here.,6,0,surprise
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,6,6,sadness
I knew they would.,6,6,sadness
"Well sure, from your mother's point of view.  Why else would I come?",5,5,neutral
"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",5,6,sadness
"I, umm. I guess, I guess that's kind of why I came.",6,6,sadness
"I love you. Annie, I love you.",2,1,joy
[LAUGHTER],6,6,sadness
"I don't really have any imagination, that's all I know how to say.",6,6,sadness
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",5,5,neutral
No. No,6,6,sadness
"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",6,4,fear
"Chris, I've been ready a long, long, time.",6,6,sadness
And he's gone forever?  Are you sure?,5,5,neutral
I almost got married two years ago.,6,1,joy
Why didn't you?,5,5,neutral
You started to write me.,6,7,disgust
You felt something that far back?,5,5,neutral
Every day since.,6,6,sadness
Why didn't you let me know?,5,3,anger
"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",6,6,sadness
Give me a...,6,6,sadness
Give me a kiss.,6,6,sadness
God.  I kissed you Annie.,6,5,neutral
beating around the bush.,6,6,sadness
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",6,5,neutral
"Oh Annie, we are going to live now.  I am going to make you so happy.",1,1,joy
Not like that you're not.,6,6,sadness
I kissed you.,6,7,disgust
"Like Larry's brother.  Do it like you, Chris.",6,6,sadness
"Chris, what is it?",5,5,neutral
"Hey, let's drive some place.  Huh?  Let's get out of here.",5,1,joy
No. What is it?  Is it your mother?,5,5,neutral
No it's nothing like that. It's-,6,6,sadness
