Text,Label,Unique_Label
"He likes to keep tabs, you know.",6,96
How much did he win at the slot?,6,97
"Uh, I think seven hundred and fifty dollars.",6,98
Really? Penny slots?,5,99
Penny slots. That's what he plays.,6,100
Wow.,5,101
Yeah.,6,2
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,5,102
Oh.,6,103
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,6,104
"But the pennies always get you because you end up spending like, you know, fifty bucks.",6,105
Fifty bucks. Mmhmm.,5,106
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",6,107
Yeah.,6,2
Well so now we're married. We have cat children.,1,108
Awesome.,1,109
[LAUGHTER] Cat babies.,6,110
"We renamed Brenda, Lumber Janet.",6,111
That's fair enough.,6,112
She needs a new name each state that we go into. [LAUGHTER],6,113
"Have you tried, uh, Craig's List?",6,114
"Uh, what?  Craig's List?  Oh the internet thing?",5,115
Yeah.,6,2
I don't know.  Isn't that-- that's all like escort services and things like that.,5,116
No.  There's regular jobs on there.,6,117
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",6,118
Uh huh.,6,119
I'm just saying I have a friend that got a good job on it so I was just recommending it.,6,120
What kind of a job?,5,121
He's like a manager for a theatre.,6,122
Really?,5,123
He's like a house manager. Yeah.  It's a good job.,1,124
He just...,6,125
you know what?  I heard about that job.  I applied for that.,5,126
You did?,5,127
Yeah.  I saw a posting at the theatre.,5,128
Yeah.,6,2
He got it?,5,129
You've been looking for a job for a long time; that was a long time ago.  Right?,6,130
Yeah.,6,2
Hmm.,6,131
What did he do?  What was so great?  I don't understand why they would pick him over me.,5,132
I don't know.  He had a really good resume I guess and--,5,133
A resume?,5,134
Yeah.  Do you have a resume?,5,135
No.,6,136
It's kind of helpful when getting a job.,1,137
I just- I mean I call people up and I tell them what I'm good at.,6,138
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,6,139
Yeah.,6,2
I don't like- I don't like sending things in the mail.  I don't want my information out there.,6,140
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",6,141
I'm there in front of them.  I'm telling them what I'm good at.,6,142
"Yeah.  But the piece of paper helps, too.",6,143
Why?  It's a piece of paper.,5,144
"No.  But it has an outline, you know.",6,145
"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",4,146
"I know.  Okay.  Well, um. Maybe--",6,147
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",6,148
Yeah.,6,2
"Okay, yeah.  I would imagine.",6,149
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,6,150
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",6,151
"That's baloney, that's baloney.",6,152
Please.,6,153
maybe get a car.,6,154
"I just, you know, think you should try a little harder maybe.",6,155
you think that you're better than me because I don't have a car?,5,156
I didn't say that.,6,157
"You know, you're riding the bus, too.",6,158
"I am riding the bus, but by choice.",4,159
Why?  What choice?,5,160
"To save the environment, carpool.",6,161
You're saving the environment. mmhmm,6,162
Yes.  One less car at a time.,6,163
Interesting.  That's fantastic.,1,164
Mmhmm.,6,165
"You know, you don't have to take out your frustration on me, you know, just because...",3,166
I'm not frustrated.,3,167
...you can't get a job and refuse to have a resume.,0,168
Who do you think you are?,5,169
I don't think I'm anyone.,6,170
You are so high and mighty.  I just--,5,171
I- I-I didn't-- okay.,4,172
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,1,173
What?  No.,5,174
What? Oh.  So now you're...,5,175
"The bus, I'm riding the bus because I want to.",4,176
you know what?  You don't have to take your anger and your hurt out on me.,3,177
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,6,178
Why not?,6,179
Hi.,6,180
Hi.  Thanks for waiting.,1,181
Yeah. This is the fourth line that I have been in.,6,182
Can I help you?,4,183
Uh huh.,6,119
I need my bag.,6,184
Okay.,6,185
"I flew in over three hours ago, I've been in four different lines.",6,186
Okay.,6,185
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,5,187
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,0,188
Nash.,6,189
Okay.,6,185
No G.,6,190
all right- okay.  And you lost your bag? Is that- that the issue?,6,191
Yes.,6,192
Flight seven fourteen.,6,193
Uh-huh.,4,194
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",6,195
"Yeah. Yeah, I don't see- I don't see any--",6,196
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",6,197
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",0,198
"Oh, Are you kidding me?",5,199
"for such an inconvenience and your bag, but",0,200
Is this a joke?,5,201
Yeah.,6,2
"No, no.",6,202
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",5,203
"No, no.  This is real.",6,204
So you'll give me money and then I'll get my bag?,6,205
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",0,206
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,6,207
"You're kidding me, this is a joke.",3,208
"Once again, I'm really- I'm really sorry.",0,209
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,5,210
Yes.,6,192
I know.,6,39
We flew in from Paris.  I've been shopping for three weeks.,6,211
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",0,212
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,3,213
Okay. Calm-,6,214
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",6,215
Do you understand who my husband is?,5,216
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",6,217
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",6,218
Oh-Oh.  It's a gift.  You're-You're helping me out here?,5,219
It's a gift.,1,220
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",6,221
You are cruising for a bruising.  You are in so much trouble.,0,222
With the amount of--,6,223
Who's in charge?  Who is the president of Jet Blue?,5,224
"Um, actually, I don't know. I don't know. Oh really?",5,225
Because I probably know him.,6,226
Yeah.,6,2
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,6,227
"I don't want money, I want my clothes.",3,228
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",0,229
What's your name?,6,230
Oh.  My name is Sean. Hi.,5,231
Sean.  Great. Do you have a badge number or something?,5,232
"Badge number?  Uh, no.  You can just take my employee number I guess.",6,233
Okay.  I'll do that.,6,234
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,6,235
I don't think you have done everything you could do because I don't have my bag here yet.,5,236
"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",3,237
A letter? I'll make a personal phone call.,6,238
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",6,239
"I'm sorry, Joy.",0,240
It's okay.,6,241
Is there anything I can get you?  Do you want me to take care of anything for you or...?,6,242
"No, no, no.",4,243
...pick up anything?,5,244
No.,6,136
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,6,245
That's sweet.,1,246
Thank you.,6,247
I went to see her headstone a week or two ago.,1,248
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",6,249
Hmm.,6,131
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,6,250
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,6,251
"this woman came up and, you know, it was hers. It was her person that was there.",6,252
Oh.  She was there?,5,253
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",6,254
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",6,255
Mmhmm.,6,165
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",0,256
Yeah.,6,2
I don't know.,5,257
How long were you there for?,6,258
At the cemetery?,5,259
Mmhmm.,6,165
couple hours.,6,260
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",6,261
Oh really?,5,262
You ran through the sprinklers in the cemetery?,5,263
It was hot.[LIPSMACK],6,264
Is it a big cemetery?,5,265
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,5,266
"Oh, so they're like really old too, really old ones?",6,267
Yeah.,6,2
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",6,268
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",6,269
She used to have these poetry parties on Memorial Day.,6,270
Mmhmm.,6,165
Umm. Yeah.,6,271
"And the last time before she died, I remember she couldn't really stand, umm...",4,272
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",6,273
Mmhmm.,6,165
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",6,274
So she wrote a lot of poetry?,6,275
"There's another one, I can't remember.",6,276
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",6,277
Mmhmm.Mmhmm.Mmhmm.,6,278
Did you get the letter?,5,279
"Yes.  There's a big envelope it says, you're in. I know.",6,280
Yeah. That is so awesome.,1,281
Oh my God. What are you going to do? [LAUGHTER],5,282
So I have to move back to the ghetto but...I know.,0,283
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",1,284
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",1,285
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",1,286
"Oh- I know, I know, I know, I know.",6,287
"I don't know.  I spend so much time commuting as it is, I'd rather.",6,288
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,1,289
I know. We should throw a party.,3,290
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",6,291
A rapper party ho. Yeah. Okay.,6,292
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",1,293
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,1,294
Yeah.  Big time.,5,295
Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,4,296
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",6,297
"Oh, okay.",6,298
Ooh. Fancy.,5,299
Yeah.  I'm not sure.,6,300
Is this a Masters or a P.h.D.?  Or can you...? Nice,5,301
Umm...P.h.D. [LAUGHTER],6,302
"That's good.  Don't you have to like teach a class, too, when you do that?",6,303
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",6,304
"Teacher. Mrs. Nash, I have a question.",6,305
So I get to mold young minds. Mrs.?  That's my mother.,6,306
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,6,307
"I would be like- Oh. Right, right, right.",6,308
"Mrs. Nash.  That's so awesome, though.",1,309
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",1,310
Yay...School's fun.,1,311
"Of course, right.  That's where the real money is, being a student.",6,312
Yeah.  Totally. [LAUGHTER],6,313
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,3,314
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",6,315
What's he going to say?,5,316
Maybe we should tell him before he sees it.,6,317
He saw it.,6,318
How could he see it?  I was the first one up; he was still in bed.,5,319
He was out here when it broke.,4,320
When?,5,321
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,5,322
What was he doing out here at four o clock in the morning?,5,323
I don't know.,5,257
"He's dreaming of him again, walking around.",6,324
I guess he is.,6,325
It's getting to be just like after he died.  What's the meaning of that?,6,326
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",4,327
What?,5,328
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",6,329
What do you mean dishonest?,3,330
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,5,331
What do you want to do?  Argue with him?,6,332
I don't want to argue but it's time he realized that nobody believes Larry is alive.,6,333
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",4,334
You can't say that to him.,6,335
We've got to say it to him.,6,336
Where's the proof?  Do you have any proof?,5,337
"For God's sake, three years?  Nobody comes back after three years; that's insane.",5,338
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",6,339
"Sit down, Mom.  I want to talk to you.",0,340
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",6,341
"All right, all right, all right.  You know why I asked Annie here, right?",6,342
Why?,5,343
You know.,6,344
"Well I got an idea, but what's your story?",6,345
I'm going to ask her to marry me.,1,346
"Well that's only your business, Chris.",6,347
You know it's not just my business.,6,348
Well what do you want me to do?  You're old enough to know your own mind.,6,349
"So all right then, I'll just go ahead with it?",6,350
Well you want to make sure that your father is not going to --,6,351
Then it's not just my business.,6,352
I'm just saying.,6,353
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",3,354
Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,6,355
She's not Larry's girl.,6,356
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",6,357
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",6,358
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",4,359
"You're a considerate fellow, there's nothing wrong in that.",6,360
To hell with that.,3,361
I just don't see why.  Have you asked Annie yet?,5,362
I wanted to get this settled first.,0,363
Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,6,364
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",6,365
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,6,366
The trouble is you don't see enough women.  You never did.,0,367
So what.  I'm not fast with women.,5,368
Why does it have to be Annie?,5,369
Because it is.,6,370
Oh that's a great reason.  It's no reason at all.,6,371
I don't know.,5,257
"You haven't seen her since you went away to war, it's been five years.",6,372
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",4,373
"Mom, what do you want?  A diagram?",5,374
I don't want a diagram.,6,375
He thinks he's coming back Chris.,6,376
"You marry that girl, you are pronouncing him dead...",3,377
...and then what's that going to do to your father?  Do you know?  I don't.,5,378
"All right, then, Mom. [BREATHING]",3,379
Just give it some more thought.,6,380
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",6,381
"But if I can't do that here, I may have to go somewhere else.",6,382
What the hell is this?,3,383
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",6,384
Are you crazy?,3,385
"I've been a good son for too long, a good sucker.",6,386
You have a business here.  What the hell is this?,3,387
The business?  The business doesn't inspire me.,0,388
Oh.  Must you be inspired?,5,389
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",1,390
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",6,391
You mean to tell me that you would leave the business over this?,3,392
"On this, I would.",6,393
Well you don't want to think like that.,6,394
Then help me stay here.,6,395
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",3,396
I know that.  Then just help me stay here.,6,397
Just don't think like that.,6,398
Well I am thinking like that.,6,399
"I don't understand you, do I?",5,400
No.  You don't.  I'm a pretty tough guy.,4,401
I can see that.,6,402
Why did he invite her here?,5,403
Why does that bother you?,3,404
"She's been in New York three and an half years, why all of a sudden?",5,405
Well maybe...maybe he just wanted to see her.,6,406
Nobody comes seven hundred miles just to see.,6,407
"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",5,408
[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,3,409
He's not going to marry her.,0,410
How do you know he's even thinking about it?,5,411
It's got that about it.,6,412
Oh.  So what.,5,413
"What is going on here, Joe?",5,414
Now listen.,6,415
She is not his girl.  She knows she's not.,6,416
You can't read her mind.,6,417
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",5,418
How do you know why she waited?,5,419
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",0,420
"Hey look, it's a nice day, huh?  Why are we arguing?",1,421
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",6,422
What do you want me to do? What do you want?,3,423
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",6,424
I won't stand for any nonsense.,3,425
Kate.,6,426
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",4,427
[BREATHING],6,428
Calm yourself.,6,429
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",6,430
Okay. Calm yourself.,6,431
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",6,432
"Look at you, you're shaking.",4,433
I can't help it.,0,434
"What have I got to hide?  What the hell is the matter with you, Kate?",3,435
You're the only one who still loves his parents.,6,436
"I know.  It kind of went out of style, didn't it?",6,437
It's not so bad; it's a good thing.,6,438
"[BREATHING] You know, it's lovely here.  The air is sweet.",1,439
You're not sorry you came.,0,440
"I'm not sorry, no. But I'm...I can't stay.",0,441
Why not?,6,179
"For one thing, your mother much as told me to go.",6,442
Well.,6,443
"And then, you.  You've been kind of...",6,444
What?,5,328
Sort of embarrassed ever since I got here.,0,445
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,6,446
I knew they would.,6,447
You did?,5,127
"Well sure, from your mother's point of view.  Why else would I come?",5,448
"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",6,449
"I, umm. I guess, I guess that's kind of why I came.",6,450
[BREATHING],6,428
"I love you. Annie, I love you.",1,451
[LAUGHTER],6,452
"I don't really have any imagination, that's all I know how to say.",6,453
[LAUGHTER],6,452
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",5,454
No. No,6,455
"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",4,456
"Chris, I've been ready a long, long, time.",6,457
And he's gone forever?  Are you sure?,5,458
I almost got married two years ago.,1,459
Why didn't you?,5,460
You started to write me.,6,461
You felt something that far back?,5,462
Every day since.,6,463
Why didn't you let me know?,3,464
"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",6,465
Give me a...,6,466
Give me a kiss.,6,467
God.  I kissed you Annie.,5,468
beating around the bush.,6,469
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",5,470
"Oh Annie, we are going to live now.  I am going to make you so happy.",1,471
Not like that you're not.,6,472
I kissed you.,6,473
"Like Larry's brother.  Do it like you, Chris.",6,474
"Chris, what is it?",5,475
"Hey, let's drive some place.  Huh?  Let's get out of here.",1,476
No. What is it?  Is it your mother?,5,477
No it's nothing like that. It's-,6,478
"Then what?  Chris.  Even in your letters, there was something ashamed.",6,479
Yeah.  I suppose I have been. But it's going from me.,6,480
You've got to tell me.,6,481
I don't even know how to start.,6,482
It wouldn't work like this.,6,483
"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",5,484
"Yeah, sure.",6,485
Well I lost them.,0,486
How many?,5,487
Pretty much all.,6,488
"Aw, geez.",5,489
You can't just toss off a thing like that because they weren't just men. You know?,6,490
"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",6,491
"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",3,492
"And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",6,493
Mmhmm.,6,165
"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",6,494
"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",5,495
Driving my new car and seeing a new refrigerator.,5,496
"I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",6,497
And I didn't want any of it. I guess that included you.,6,498
Do you still feel that way?,6,499
I just want you to know Annie.,6,500
"Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?",6,501
"Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.",3,502
"Annie, Annie.  I am going to make a fortune for you.",1,503
What would I do with a fortune?,3,504
"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",5,505
"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?",5,506
Fine.,3,507
"Okay.  Is that, is that--",6,508
No.  That's just foam.  I don't know.  I can't tell.,6,509
[BREATHING],6,428
"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?",6,510
Oh no.  you know what I forgot?,5,511
What?,5,328
"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight.",5,512
What flashlight?,5,513
"The flashlight, the silver one.  There's only one, isn't there?",5,514
That's not your flashlight.,6,515
Whose is it?,5,516
It's ours; it's my flashlight too.,6,517
"Oh...well. Yeah, of course.",6,518
You keep saying my flashlight like it's just yours.,6,519
No.,6,136
How's that supposed to make me feel?,6,520
"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",6,521
"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though.",5,522
Do they always run during a full moon?  I don't remember.  Was it full last year?,5,523
Yeah.,6,2
"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",5,524
"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",5,525
"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",5,526
